"filename", "language", "GLSL", "C++", "CMake", "C", "Markdown", "PostCSS", "HTML", "SCSS", "XML", "Objective-C", "JavaScript", "comment", "blank", "total"
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/build_8md.html", "HTML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 4, 3, 82
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/build_guide.html", "HTML", 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 4, 3, 218
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/compat_8md.html", "HTML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 4, 3, 82
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/compat_guide.html", "HTML", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 4, 3, 157
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/compile_8md.html", "HTML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 4, 3, 82
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/compile_guide.html", "HTML", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 4, 3, 220
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/context_8md.html", "HTML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 4, 3, 82
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/context_guide.html", "HTML", 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 4, 3, 259
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/deprecated.html", "HTML", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 4, 3, 89
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/dir_13577e2d8b9423099662de029791bd7d.html", "HTML", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 4, 3, 94
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/dir_7f92719a7fe62e5b064f87d7a3c220b1.html", "HTML", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 4, 3, 96
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/dir_a788ef6c2b1e5b367804e0b6ccfd6f11.html", "HTML", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 4, 3, 86
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/dir_b11153cd0f4fd04a7564cc166f482635.html", "HTML", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 4, 3, 92
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/doc.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/docd.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/doxygen.css", "PostCSS", 0, 0, 0, 0, 0, 1383, 0, 0, 0, 0, 0, 25, 278, 1686
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/doxygen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/dynsections.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 48, 14, 193
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/extra.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/files.html", "HTML", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 4, 3, 92
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/folderclosed.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/folderclosedd.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
